,Date,Close,Open,High,Low,Volume,Change,ticker,Symbol,Name,Industry,IndustryCode 
2,2021-03-30,3055.29,3068.99,3069.66,3034.7,2340000,-0.0066,AMZN,AMZN,Amazon.com Inc,다양한 소매업,534020
35,2021-03-30,2334.9,2343.3,2370.2,2316.8,246370,-0.007,BKNG,BKNG,Booking Holdings Inc,호텔 및 엔터테인먼트,533010
5,2021-03-30,2055.54,2060.4,2069,2044.03,1040000,-0.0002,GOOG,GOOG,Alphabet Inc Class C,소프트웨어 및 IT서비스,572010
4,2021-03-30,2046.47,2049.8,2061.99,2036.46,1370000,0.0003,GOOGL,GOOGL,Alphabet Inc Class A,소프트웨어 및 IT서비스,572010
44,2021-03-30,1428.03,1408.76,1444,1390.38,408150,0.0175,MELI,MELI,Mercadolibre Inc,소프트웨어 및 IT서비스,572010
92,2021-03-30,799.55,807.4,812.35,793.32,160300,-0.0124,CSGP,CSGP,CoStar Group Inc,소프트웨어 및 IT서비스,572010
38,2021-03-30,726.49,719.11,728.99,714.52,450750,0.0035,ISRG,ISRG,Intuitive Surgical Inc,헬스케어 장비 및 용품,561010
51,2021-03-30,674.84,680.81,684.9,673.47,300770,-0.0189,EQIX,EQIX,Equinix Inc,주택 및 상업용 리츠,601020
6,2021-03-30,635.62,602.2,637.66,591.01,39430000,0.0398,TSLA,TSLA,Tesla Inc,자동차 및 자동차 부품,531010
25,2021-03-30,632.69,638.63,640.37,628.52,650300,-0.0063,CHTR,CHTR,Charter Communications Inc Class A,통신 서비스,574010
99,2021-03-30,625.88,603.2,630.99,592.01,882350,0.0217,TTD,TTD,Trade Desk Inc Class A,소프트웨어 및 IT서비스,572010
9,2021-03-30,601.29,599.91,605.96,595.83,1070000,-0.011,ASML,ASML,ASML Holding NV ADR,반도체 및 반도체 장비,571010
37,2021-03-30,572.56,563.32,576.05,563.13,904890,0.004,LRCX,LRCX,Lam Research Corp,반도체 및 반도체 장비,571010
66,2021-03-30,524.33,516.22,526.11,511.13,451880,0.0161,ALGN,ALGN,Align Technology Inc,헬스케어 장비 및 용품,561010
7,2021-03-30,514.87,512.81,519.01,508.39,5010000,-0.0059,NVDA,NVDA,NVIDIA Corp,반도체 및 반도체 장비,571010
12,2021-03-30,513.39,510.75,514.3,506.91,2420000,-0.0011,NFLX,NFLX,Netflix Inc,소프트웨어 및 IT서비스,572010
89,2021-03-30,509.13,507.92,512.24,504.05,517300,0.0022,ORLY,ORLY,O'Reilly Automotive Inc,전문품 상점,534030
77,2021-03-30,475.95,474.37,477.57,469.1,480740,-0.0067,IDXX,IDXX,IDEXX Laboratories Inc,헬스케어 장비 및 용품,561010
60,2021-03-30,470.67,480.01,480.19,469.52,610470,-0.0225,REGN,REGN,Regeneron Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
13,2021-03-30,465.46,467.02,469,461.5,2440000,-0.0082,ADBE,ADBE,Adobe Inc,소프트웨어 및 IT서비스,572010
16,2021-03-30,456.16,463.45,463.45,451.94,2790000,-0.0348,AVGO,AVGO,Broadcom Inc,반도체 및 반도체 장비,571010
32,2021-03-30,373.66,371.04,375.96,368.8,998040,-0.0026,INTU,INTU,Intuit Inc,소프트웨어 및 IT서비스,572010
54,2021-03-30,368.96,392.4,404.76,365.57,4520000,-0.0659,ILMN,ILMN,Illumina Inc,헬스케어 장비 및 용품,561010
20,2021-03-30,349.75,353.76,354.5,348.95,2600000,-0.018,COST,COST,Costco Wholesale Corp,다양한 소매업,534020
90,2021-03-30,347.2,346.58,350.42,341.27,653140,-0.0062,DXCM,DXCM,Dexcom Inc,헬스케어 장비 및 용품,561010
86,2021-03-30,337.31,339.51,339.54,335.18,258410,-0.0114,CTAS,CTAS,Cintas Corp,전문 및 상업 서비스,522030
98,2021-03-30,332.99,323,338.44,320.55,297720,0.0292,BGNE,BGNE,Beigene Ltd ADR,생명과학 및 메디컬 리서치,562020
83,2021-03-30,317.09,314,320.5,312.02,2540000,0.0029,LULU,LULU,Lululemon Athletica Inc,섬유 및 의류,532020
57,2021-03-30,317.07,311.69,318.51,311.69,924070,0.0088,KLAC,KLAC,KLA Corp,반도체 및 반도체 장비,571010
36,2021-03-30,313.19,305,314.85,302.33,2840000,0.0156,ZM,ZM,Zoom Video Communications Inc Class A,소프트웨어 및 IT서비스,572010
71,2021-03-30,311.96,302.6,314.75,299.27,4280000,0.0371,ROKU,ROKU,Roku Inc Class A,미디어 및 출판,533020
3,2021-03-30,288,289.87,292.47,286.71,17470000,-0.0097,FB,FB,Facebook Inc Class A,소프트웨어 및 IT서비스,572010
74,2021-03-30,276.01,273.79,279.45,273.07,876690,-0.0003,BIIB,BIIB,Biogen Inc,제약,562010
49,2021-03-30,268.43,267.18,271.65,264.48,904450,-0.0087,ADSK,ADSK,Autodesk Inc,소프트웨어 및 IT서비스,572010
23,2021-03-30,249.75,253.18,254.01,248.83,1960000,-0.0204,AMGN,AMGN,Amgen Inc,제약,562010
50,2021-03-30,243.23,242.45,244.62,237.79,825380,0.0005,WDAY,WDAY,Workday Inc Class A,소프트웨어 및 IT서비스,572010
