,Symbol,Name,Industry,IndustryCode
0,AAPL,Apple Inc,"컴퓨터, 전화 및 가전제품",571060
1,MSFT,Microsoft Corp,소프트웨어 및 IT서비스,572010
2,AMZN,Amazon.com Inc,다양한 소매업,534020
3,FB,Facebook Inc Class A,소프트웨어 및 IT서비스,572010
4,GOOGL,Alphabet Inc Class A,소프트웨어 및 IT서비스,572010
5,GOOG,Alphabet Inc Class C,소프트웨어 및 IT서비스,572010
6,TSLA,Tesla Inc,자동차 및 자동차 부품,531010
7,NVDA,NVIDIA Corp,반도체 및 반도체 장비,571010
8,PYPL,PayPal Holdings Inc,소프트웨어 및 IT서비스,572010
9,INTC,Intel Corp,반도체 및 반도체 장비,571010
10,ASML,ASML Holding NV ADR,반도체 및 반도체 장비,571010
11,CMCSA,Comcast Corp Class A,미디어 및 출판,533020
12,NFLX,Netflix Inc,소프트웨어 및 IT서비스,572010
13,ADBE,Adobe Inc,소프트웨어 및 IT서비스,572010
14,CSCO,Cisco Systems Inc,커뮤니케이션 및 네트워킹,571020
15,PEP,PepsiCo Inc,음료,541010
16,AVGO,Broadcom Inc,반도체 및 반도체 장비,571010
17,TXN,Texas Instruments Inc,반도체 및 반도체 장비,571010
18,PDD,Pinduoduo Inc ADR,소프트웨어 및 IT서비스,572010
19,COST,Costco Wholesale Corp,다양한 소매업,534020
20,TMUS,T-Mobile US Inc,통신 서비스,574010
21,ZIONO,Zions Bancorporation NA ADR,은행,551010
22,QCOM,Qualcomm Inc,반도체 및 반도체 장비,571010
23,AMGN,Amgen Inc,제약,562010
24,CHTR,Charter Communications Inc Class A,통신 서비스,574010
25,AZN,AstraZeneca PLC ADR,제약,562010
26,ZIONN,Zions Bancorporation NA ADR,은행,551010
27,SBUX,Starbucks Corp,호텔 및 엔터테인먼트,533010
28,JD,JD.Com Inc ADR,다양한 소매업,534020
29,SNY,Sanofi SA ADR,제약,562010
30,AMAT,Applied Materials Inc,반도체 및 반도체 장비,571010
31,ABNB,Airbnb Inc Class A,소프트웨어 및 IT서비스,572010
32,INTU,Intuit Inc,소프트웨어 및 IT서비스,572010
33,MU,Micron Technology Inc,반도체 및 반도체 장비,571010
34,BKNG,Booking Holdings Inc,호텔 및 엔터테인먼트,533010
35,AMD,Advanced Micro Devices Inc,반도체 및 반도체 장비,571010
36,ZM,Zoom Video Communications Inc Class A,소프트웨어 및 IT서비스,572010
37,ISRG,Intuitive Surgical Inc,헬스케어 장비 및 용품,561010
38,MDLZ,Mondelez International Inc Class A,식품 및 담배,541020
39,GILD,Gilead Sciences Inc,생명과학 및 메디컬 리서치,562020
40,ADP,Automatic Data Processing Inc,소프트웨어 및 IT서비스,572010
41,LRCX,Lam Research Corp,반도체 및 반도체 장비,571010
42,FISV,Fiserv Inc,전문 및 상업 서비스,522030
43,CME,CME Group Inc Class A,투자은행 및 서비스,551020
44,CSX,CSX Corp,화물 및 물류 서비스,524050
45,ATVI,Activision Blizzard Inc,소프트웨어 및 IT서비스,572010
46,BIDU,Baidu Inc ADR,소프트웨어 및 IT서비스,572010
47,NTES,NetEase Inc ADR,소프트웨어 및 IT서비스,572010
48,MELI,Mercadolibre Inc,소프트웨어 및 IT서비스,572010
49,EQIX,Equinix Inc,주택 및 상업용 리츠,601020
50,ADSK,Autodesk Inc,소프트웨어 및 IT서비스,572010
51,WDAY,Workday Inc Class A,소프트웨어 및 IT서비스,572010
52,ILMN,Illumina Inc,헬스케어 장비 및 용품,561010
53,ADI,Analog Devices Inc,반도체 및 반도체 장비,571010
54,VRTX,Vertex Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
55,NXPI,NXP Semiconductors NV,반도체 및 반도체 장비,571010
56,VOD,Vodafone Group PLC ADR,통신 서비스,574010
57,REGN,Regeneron Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
58,TEAM,Atlassian Corporation PLC Class A,소프트웨어 및 IT서비스,572010
59,KDP,Keurig Dr Pepper Inc,음료,541010
60,KHC,Kraft Heinz Co,식품 및 담배,541020
61,MRNA,Moderna Inc,생명과학 및 메디컬 리서치,562020
62,MNST,Monster Beverage Corp,음료,541010
63,KLAC,KLA Corp,반도체 및 반도체 장비,571010
64,MAR,Marriott International Inc Class A,호텔 및 엔터테인먼트,533010
65,WBA,Walgreens Boots Alliance Inc,식품 및 약품소매,543010
66,ROST,Ross Stores Inc,전문품 상점,534030
67,EXC,Exelon Corp,전기 유틸리티,591010
68,AEP,American Electric Power Company Inc,전기 유틸리티,591010
69,BIIB,Biogen Inc,제약,562010
70,CTSH,Cognizant Technology Solutions Corp Class A,소프트웨어 및 IT서비스,572010
71,LULU,Lululemon Athletica Inc,섬유 및 의류,532020
72,ERIC,Telefonaktiebolaget LM Ericsson ADR,커뮤니케이션 및 네트워킹,571020
73,IDXX,IDEXX Laboratories Inc,헬스케어 장비 및 용품,561010
74,ALGN,Align Technology Inc,헬스케어 장비 및 용품,561010
75,EBAY,eBay Inc,소프트웨어 및 IT서비스,572010
76,MCHP,Microchip Technology Inc,반도체 및 반도체 장비,571010
77,TROW,T. Rowe Price Group Inc,투자은행 및 서비스,551020
78,CRWD,CrowdStrike Holdings Inc Class A,소프트웨어 및 IT서비스,572010
79,EA,Electronic Arts Inc,소프트웨어 및 IT서비스,572010
80,BILI,Bilibili Inc ADR,소프트웨어 및 IT서비스,572010
81,ROKU,Roku Inc Class A,미디어 및 출판,533020
82,CDNS,Cadence Design Systems Inc,소프트웨어 및 IT서비스,572010
83,DOCU,DocuSign Inc,소프트웨어 및 IT서비스,572010
84,SNPS,Synopsys Inc,소프트웨어 및 IT서비스,572010
85,PAYX,Paychex Inc,전문 및 상업 서비스,522030
86,XEL,Xcel Energy Inc,전기 유틸리티,591010
87,CTAS,Cintas Corp,전문 및 상업 서비스,522030
88,ORLY,O'Reilly Automotive Inc,전문품 상점,534030
89,MTCH,Match Group Inc,소프트웨어 및 IT서비스,572010
90,TSCAP,TriState Capital Holdings Inc ADR,은행,551010
91,ALXN,Alexion Pharmaceuticals Inc,제약,562010
92,DXCM,Dexcom Inc,헬스케어 장비 및 용품,561010
93,PCAR,Paccar Inc,"건설장비 및 대형차, 기차, 배",521020
94,CSGP,CoStar Group Inc,소프트웨어 및 IT서비스,572010
95,MRVL,Marvell Technology Group Ltd,반도체 및 반도체 장비,571010
96,PTON,Peloton Interactive Inc Class A,레저 상품,532050
97,SBAC,SBA Communications Corp Class A,주택 및 상업용 리츠,601020
98,IBKR,Interactive Brokers Group Inc Class A,투자은행 및 서비스,551020
99,WLTW,Willis Towers Watson PLC,보험,553010
100,XLNX,Xilinx Inc,반도체 및 반도체 장비,571010
101,FTNT,Fortinet Inc,소프트웨어 및 IT서비스,572010
102,ANSS,ANSYS Inc,소프트웨어 및 IT서비스,572010
103,BGNE,Beigene Ltd ADR,생명과학 및 메디컬 리서치,562020
104,SWKS,Skyworks Solutions Inc,반도체 및 반도체 장비,571010
105,VRSK,Verisk Analytics Inc,소프트웨어 및 IT서비스,572010
106,FAST,Fastenal Co,"건설장비 및 대형차, 기차, 배",521020
107,TTD,Trade Desk Inc Class A,소프트웨어 및 IT서비스,572010
108,OKTA,Okta Inc Class A,소프트웨어 및 IT서비스,572010
109,ODFL,Old Dominion Freight Line Inc,화물 및 물류 서비스,524050
110,DLTR,Dollar Tree Inc,다양한 소매업,534020
111,FITB,Fifth Third Bancorp,은행,551010
112,RPRX,Royalty Pharma PLC Class A,제약,562010
113,VIAC,ViacomCBS Inc Class B,미디어 및 출판,533020
114,LBRDK,Liberty Broadband Corp Series C,미디어 및 출판,533020
115,SIRI,Sirius XM Holdings Inc,미디어 및 출판,533020
116,SGEN,Seagen Inc,생명과학 및 메디컬 리서치,562020
117,EXPE,Expedia Group Inc,호텔 및 엔터테인먼트,533010
118,RYAAY,Ryanair Holdings PLC ADR,운송업,524060
119,SIVB,SVB Financial Group,은행,551010
120,CPRT,Copart Inc,전문품 상점,534030
